0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
(In millions),Fair Value Level,,Adjusted Cost Basis,,Unrealized Gains,,Unrealized Losses,,Recorded Basis,,Cash and Cash Equivalents,,Short-term Investments,,Equity Investments
"June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022","June 30, 2022"
Changes in Fair Value Recorded in Other Comprehensive Income,,,,,,,,,,,,,,,
Commercial paper,Level 2,,"$ 2,500",,$ 0,,$ 0,,"$ 2,500",,"$ 2,498",,$ 2,,$ 0
Certificates of deposit,Level 2,,2071,,0,,0,,2071,,2032,,39,,0
U.S. government securities,Level 1,,79696,,29,,"(2,178)",,77547,,9,,77538,,0
U.S. agency securities,Level 2,,419,,0,,(9),,410,,0,,410,,0
Foreign government bonds,Level 2,,506,,0,,(24),,482,,0,,482,,0
Mortgage- and asset-backed securities,Level 2,,727,,1,,(30),,698,,0,,698,,0
Corporate notes and bonds,Level 2,,11661,,4,,(554),,11111,,0,,11111,,0
Corporate notes and bonds,Level 3,,67,,0,,0,,67,,0,,67,,0
Municipal securities,Level 2,,368,,19,,(13),,374,,0,,374,,0
Municipal securities,Level 3,,103,,0,,(6),,97,,0,,97,,0
Total debt investments,,,"$ 98,118",,$ 53,,"$ (2,814)",,"$ 95,357",,"$ 4,539",,"$ 90,818",,$ 0
Changes in Fair Value Recorded in Net Income,,,,,,,,,,,,,,,
Equity investments,Level 1,,,,,,,,"$ 1,590",,"$ 1,134",,$ 0,,$ 456
Equity investments,Other,,,,,,,,6435,,0,,0,,6435
Total equity investments,,,,,,,,,"$ 8,025",,"$ 1,134",,$ 0,,"$ 6,891"
Cash,,,,,,,,,"$ 8,258",,"$ 8,258",,$ 0,,$ 0
"Derivatives, net (a)",,,,,,,,,8,,0,,8,,0
Total,,,,,,,,,"$ 111,648",,"$ 13,931",,"$ 90,826",,"$ 6,891"
