0,1,2,3,4,5,6,7
(In millions),Derivative Assets,,Derivative Liabilities,,Derivative Assets,,Derivative Liabilities
(In millions),,,"June 30, 2023",,,,"June 30, 2022"
Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments
Foreign exchange contracts,$ 34,,$ (67),,$ 0,,$ (77)
Interest rate contracts,16,,0,,3,,0
Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments
Foreign exchange contracts,249,,(332),,333,,(362)
Equity contracts,165,,(400),,5,,(95)
Other contracts,5,,(6),,15,,(17)
Gross amounts of derivatives,469,,(805),,356,,(551)
Gross amounts of derivatives offset in the balance sheet,(202),,206,,(130),,133
Cash collateral received,0,,(125),,0,,(75)
Net amounts of derivatives,$ 267,,$ (724),,$ 226,,$ (493)
Reported as,Reported as,Reported as,Reported as,Reported as,Reported as,Reported as,Reported as
Short-term investments,$ 6,,$ 0,,$ 8,,$ 0
Other current assets,245,,0,,218,,0
Other long-term assets,16,,0,,0,,0
Other current liabilities,0,,(341),,0,,(298)
Other long-term liabilities,0,,(383),,0,,(195)
Total,$ 267,,$ (724),,$ 226,,$ (493)
