0,1,3
(In millions),,
"June 30,",2024,2023
Deferred Income Tax Assets,,
Stock-based compensation expense,$ 765,$ 681
"Accruals, reserves, and other expenses",4381,3131
Loss and credit carryforwards,1741,1441
Amortization,4159,9440
Leasing liabilities,6504,5041
Unearned revenue,3717,3296
Book/tax basis differences in investments and debt,9,373
Capitalized research and development,11442,6958
Other,426,489
Deferred income tax assets,33144,30850
Less valuation allowance,"(1,045)",(939)
"Deferred income tax assets, net of valuation allowance","$ 32,099","$ 29,911"
Deferred Income Tax Liabilities,,
Leasing assets,"$ (6,503)","$ (4,680)"
Depreciation,"(3,940)","(2,674)"
Deferred tax on foreign earnings,"(1,837)","(2,738)"
Other,(167),(89)
Deferred income tax liabilities,"$ (12,447)","$ (10,181)"
Net deferred income tax assets,"$ 19,652","$ 19,730"
Reported As,,
Other long-term assets,"$ 22,270","$ 20,163"
Long-term deferred income tax liabilities,"(2,618)",(433)
Net deferred income tax assets,"$ 19,652","$ 19,730"
