instruction,input,output
What was Microsoft’s total revenue in FY2024?,,$245.122 billion.
What was Microsoft’s total revenue in FY2023?,,$211.915 billion.
What was Microsoft’s net income in FY2024?,,$88.136 billion.
What was Microsoft’s net income in FY2023?,,$72.361 billion.
What was Microsoft’s operating income in FY2024?,,$109.433 billion.
What was Microsoft’s operating income in FY2023?,,$88.523 billion.
What was Microsoft’s gross margin in FY2024?,,$171.008 billion.
How much product revenue did Microsoft report in FY2024?,,$64.773 billion.
What was the total cost of revenue in FY2024?,,$74.114 billion.
What were Research & Development expenses in FY2023?,,$27.195 billion.
What were Research & Development expenses in FY2024?,,$29.510 billion.
What were Sales & Marketing expenses in FY2024?,,$24.456 billion.
What were General & Administrative expenses in FY2024?,,$7.609 billion.
What was income before income taxes in FY2024?,,$107.787 billion.
What was diluted EPS in FY2024?,,$11.80.
What were weighted average diluted shares outstanding in FY2024?,,"7,469 million shares."
What was net cash from operating activities in FY2024?,,$118.548 billion.
What was net cash from operating activities in FY2023?,,$87.582 billion.
How much did Microsoft spend on additions to property and equipment (capex) in FY2024?,,$44.477 billion.
What was net cash used in financing activities in FY2024?,,($39.398) billion.
What were cash and cash equivalents at the end of FY2024?,,$18.315 billion.
What were cash and cash equivalents at the end of FY2023?,,$34.704 billion.
"What was total stockholders’ equity as of June 30, 2024?",,$268.477 billion.
"What were cash and cash equivalents on the balance sheet at June 30, 2024?",,$18.315 billion.
"What were accounts receivable (net) at June 30, 2024?",,$53.263 billion.
"What were inventories at June 30, 2024?",,$5.272 billion.
"What was the current portion of long‑term debt at June 30, 2024?",,$6.081 billion.
"What was long‑term debt (non‑current) at June 30, 2024?",,$72.533 billion.
"What was goodwill at June 30, 2024?",,$119.220 billion.
"What were cash, cash equivalents, and short‑term investments as of June 30, 2024?",,$75.5 billion.
"What were cash, cash equivalents, and short‑term investments as of June 30, 2023?",,$111.3 billion.
How much were cash dividends declared per share in FY2024?,,$3.00 per share.
What were weighted average basic shares outstanding in FY2024?,,"7,431 million shares."
What was Microsoft’s effective tax rate in FY2024?,,18%.
What were U.S. vs. foreign income before taxes in FY2024?,,U.S.: $62.9B; Foreign: $44.9B.
What was Intelligent Cloud revenue in FY2023?,,$87.907 billion.
What was Productivity and Business Processes revenue in FY2023?,,$69.274 billion.
What was Productivity and Business Processes operating income in FY2023?,,$34.189 billion.
What was More Personal Computing operating income in FY2023?,,$16.450 billion.
What was U.S. revenue in FY2023?,,$106.744 billion.
What was revenue from other countries in FY2023?,,$105.171 billion.
What was server products and cloud services revenue in FY2023?,,$79.970 billion.
What was Office products and cloud services revenue in FY2023?,,$48.728 billion.
What was Windows revenue in FY2023?,,$21.507 billion.
What was Search and news advertising revenue in FY2023?,,$12.208 billion.
What was Devices revenue in FY2023?,,$5.521 billion.
What was Dynamics revenue in FY2023?,,$5.437 billion.
What was Enterprise services revenue in FY2023?,,$7.722 billion.
"What was total unearned revenue as of June 30, 2023?",,$53.813 billion.
What was stock‑based compensation expense in FY2023?,,$9.611 billion.
What was comprehensive income in FY2023?,,$70.696 billion.
What was the FY2023 effect of the change in useful lives for server and network equipment?,,Increase to operating income of $3.7B and net income of $3.0B (about $0.40 EPS).
