0,1,2,3,4,5
"(In millions, except per share amounts)","(In millions, except per share amounts)","(In millions, except per share amounts)","(In millions, except per share amounts)","(In millions, except per share amounts)","(In millions, except per share amounts)"
"Year Ended June 30,",2023,,2022,,2021
Revenue:,,,,,
Product,"$ 64,699",,"$ 72,732",,"$ 71,074"
Service and other,147216,,125538,,97014
Total revenue,211915,,198270,,168088
Cost of revenue:,,,,,
Product,17804,,19064,,18219
Service and other,48059,,43586,,34013
Total cost of revenue,65863,,62650,,52232
Gross margin,146052,,135620,,115856
Research and development,27195,,24512,,20716
Sales and marketing,22759,,21825,,20117
General and administrative,7575,,5900,,5107
Operating income,88523,,83383,,69916
"Other income, net",788,,333,,1186
Income before income taxes,89311,,83716,,71102
Provision for income taxes,16950,,10978,,9831
Net income,"$ 72,361",,"$ 72,738",,"$ 61,271"
Earnings per share:,,,,,
Basic,$ 9.72,,$ 9.70,,$ 8.12
Diluted,$ 9.68,,$ 9.65,,$ 8.05
Weighted average shares outstanding:,,,,,
Basic,7446,,7496,,7547
Diluted,7472,,7540,,7608
