0,1,2,4,6
Declaration Date,Record Date,Payment Date,Dividend Per Share,Amount
Fiscal Year 2023,,,,(In millions)
"September 20, 2022","November 17, 2022","December 8, 2022",$ 0.68,"$ 5,066"
"November 29, 2022","February 16, 2023","March 9, 2023",0.68,5059
"March 14, 2023","May 18, 2023","June 8, 2023",0.68,5054
"June 13, 2023","August 17, 2023","September 14, 2023",0.68,5054
Total,,,$ 2.72,"$ 20,233"
Fiscal Year 2022,,,,
"September 14, 2021","November 18, 2021","December 9, 2021",$ 0.62,"$ 4,652"
"December 7, 2021","February 17, 2022","March 10, 2022",0.62,4645
"March 14, 2022","May 19, 2022","June 9, 2022",0.62,4632
"June 14, 2022","August 18, 2022","September 8, 2022",0.62,4621
Total,,,$ 2.48,"$ 18,550"
