0,1,2,3,4,5,6,7
(In millions),Derivative Assets,,Derivative Liabilities,,Derivative Assets,,Derivative Liabilities
(In millions),,,"June 30, 2024",,,,"June 30, 2023"
Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments,Designated as Hedging Instruments
Foreign exchange contracts,$ 24,,$ (76),,$ 34,,$ (67)
Interest rate contracts,19,,0,,16,,0
Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments,Not Designated as Hedging Instruments
Foreign exchange contracts,213,,(230),,249,,(332)
Equity contracts,63,,(491),,165,,(400)
Other contracts,12,,(3),,5,,(6)
Gross amounts of derivatives,331,,(800),,469,,(805)
Gross amounts of derivatives offset in the balance sheet,(151),,152,,(202),,206
Cash collateral received,0,,(104),,0,,(125)
Net amounts of derivatives,$ 180,,$ (752),,$ 267,,$ (724)
Reported as,Reported as,Reported as,Reported as,Reported as,Reported as,Reported as,Reported as
Short-term investments,$ 12,,$ 0,,$ 6,,$ 0
Other current assets,149,,0,,245,,0
Other long-term assets,19,,0,,16,,0
Other current liabilities,0,,(401),,0,,(341)
Other long-term liabilities,0,,(351),,0,,(383)
Total,$ 180,,$ (752),,$ 267,,$ (724)
