0,1,3
"(In millions, except lease term and discount rate)",,
"June 30,",2024,2023
Operating Leases,,
Operating lease right-of-use assets,"$ 18,961","$ 14,346"
Other current liabilities,"$ 3,580","$ 2,409"
Operating lease liabilities,15497,12728
Total operating lease liabilities,"$ 19,077","$ 15,137"
Finance Leases,,
"Property and equipment, at cost","$ 32,248","$ 20,538"
Accumulated depreciation,"(6,386)","(4,647)"
"Property and equipment, net","$ 25,862","$ 15,891"
Other current liabilities,"$ 2,349","$ 1,197"
Other long-term liabilities,24796,15870
Total finance lease liabilities,"$ 27,145","$ 17,067"
Weighted Average Remaining Lease Term,,
Operating leases,7 years,8 years
Finance leases,12 years,11 years
Weighted Average Discount Rate,,
Operating leases,3.3%,2.9%
Finance leases,3.9%,3.4%
